CIDv0 (base58btc),CIDv1 (base32),content,used,embed,where,date
QmbRqyJteL8qyYefSMgVBWUEKoXRNQL7q61xhcJeoRr35h,,250x250 avatar,no,,,2019-02-11
Qma7jaHDBkGk6aEuJEbbCaqgykUrn1X8XhtZ2nMbrYgVKv,,128x128 avatar,no,,,2019-02-11
Qmf4MkLJPvG2sjEGu8g4fE25Ui9MDnYHXXaM2C5uo5XUkx,,avatar,no,,index favicon,2019-06-02
QmQLRBFm5aa2GmmvR4FhHV7mAVjeKieEBrJaSCekyHZtbD,bafybeia5vajmcurh2ffyounq24hak2lmhyctlmarlnulyylz3hfkbhjzfq,avatar-20190602 with trans filter,no,index favicon,index favicon,2019-07-18
QmWXKBTcWuEcLhE3ExyTwugW3TJdTSXByhmGRcbM7wjSd5,bafybeidztdg3cbvm6ffjpssvdqmhgo3c2kxbycw2sn2fvqqqbga34ofpma,avatars-20201103-mask,,favicon index,,2020-11-03
,bafybeihqkgkjo7zywuk3wiwv7ng2iiwr4na2jpmbff5zawld33tssqe4ru,2021-07-11-avatar,,favicon index,,2021-07-11
